Or65a	290	149	141
Orc5	16	8	8
Or59c	2	2	0
Or59b	2304	1117	1187
Or59a	0	0	0
Or98a	796	414	382
Or42b	1689	815	874
Or42a	18	9	9
Or22c	53	28	25
Or30a	0	0	0
Or24a	4	1	3
Or23a	603	295	308
Or1a	3	1	2
Or35a	503	254	249
Or83c	413	205	208
Orco	28732	14348	14387
Or82a	1355	664	691
Or56a	1373	701	672
Or47b	1124	564	560
Or43b	2048	1019	1029
Orc1	17	5	13
Or43a	639	307	332
Or45a	210	110	100
Or45b	17	10	7
Or47a	529	277	254
Or49a	247	107	140
Or49b	356	167	189
Or13a	341	174	167
Or19a	239	114	125
Or92a	2724	1387	1337
Or85a	980	495	485
Or85d	0	0	0
Orc2	9	4	5
Or88a	727	362	367
Or74a	0	0	0
Orc6	8	3	5
Or69a	849	398	451
Or67c	309	174	135
Or67b	515	262	257
Or7a	1042	533	509
Ork1	628	305	323
Or9a	818	429	389
Or67d	761	368	393
Or85e	5	3	2
Or85c	1923	947	976
Or85b	2336	1209	1127
Or94a	1	0	1
Or94b	0	0	0
Or33a	205	108	97
Or33b	27	16	11
Or33c	108	63	45
Orc4	12	6	6
Or10a	286	138	148
Or63a	1	1	0
