Orc6	32	20	21
Or10a	342	168	174
Ork1	1086	526	561
Or1a	6	3	3
Or13a	1290	648	642
Or85d	12	7	5
Orc2	519	1471	1581
Or88a	336	224	182
Or92a	5031	2519	2512
Or83c	454	232	222
Orco	66921	33344	33584
Or82a	1119	567	552
Or85e	8	2	6
Or85c	284	134	150
Or85b	553	297	256
Or94a	4	3	2
Or94b	0	0	0
Or98a	176	91	85
Or35a	942	479	463
Or43b	1581	1831	1854
Orc1	14	4	10
Or43a	984	519	465
Or42b	7055	3546	3509
Or42a	128	73	81
Or45a	2	0	2
Or45b	63	32	31
Or47a	220	112	108
Or24a	3	1	2
Or22c	10	7	3
Or23a	334	190	144
Or30a	2	1	1
Or33a	126	58	68
Or33b	18	9	9
Or33c	37	22	15
Orc5	30	28	35
Or9a	1084	538	547
Or7a	746	364	382
Orc4	18	11	10
Or59c	2	2	8
Or59b	12764	6433	6331
Or59a	0	0	0
Or19a	202	95	107
Or56a	907	549	556
Or47b	908	453	455
Or49a	116	56	61
Or49b	248	136	112
Or74a	2	0	2
Or69a	709	351	358
Or67c	472	245	227
Or67b	221	135	165
Or63a	42	20	22
Or65a	497	234	263
Or67d	941	501	440
Or85a	1430	743	687
