Or65a	341	170	171
Orc5	30	18	13
Or59c	0	0	0
Or59b	3117	1553	1565
Or59a	3	1	2
Or98a	605	306	299
Or42b	2115	1072	1043
Or42a	17	6	11
Or22c	65	34	31
Or30a	0	0	0
Or24a	1	1	0
Or23a	688	339	349
Or1a	5	2	3
Or35a	543	259	284
Or83c	427	209	218
Orco	33046	16671	16376
Or82a	1290	655	635
Or56a	2046	1030	1016
Or47b	1193	615	578
Or43b	1970	999	971
Orc1	20	10	10
Or43a	791	400	391
Or45a	160	84	76
Or45b	37	22	15
Or47a	335	172	163
Or49a	234	128	106
Or49b	305	150	155
Or13a	386	205	181
Or19a	295	145	151
Or92a	2734	1371	1363
Or85a	1057	518	539
Or85d	1	1	0
Orc2	5	3	2
Or88a	890	474	420
Or74a	0	0	0
Orc6	11	7	4
Or69a	957	486	471
Or67c	355	185	170
Or67b	581	304	278
Or7a	1042	534	508
Ork1	1084	568	516
Or9a	665	323	342
Or67d	1145	558	587
Or85e	1	0	1
Or85c	1787	912	875
Or85b	2381	1223	1158
Or94a	1	1	0
Or94b	0	0	0
Or33a	288	143	145
Or33b	32	13	19
Or33c	171	86	85
Orc4	16	10	6
Or10a	340	152	188
Or63a	6	1	5
