Or65a	305	163	142
Orc5	47	24	25
Or59c	1	0	1
Or59b	2773	1423	1350
Or59a	1	0	1
Or98a	765	380	385
Or42b	2712	1316	1396
Or42a	27	14	13
Or22c	63	30	33
Or30a	1	0	1
Or24a	5	3	2
Or23a	986	499	487
Or1a	16	9	7
Or35a	623	288	335
Or83c	602	311	291
Orco	42104	21422	20685
Or82a	1954	972	982
Or56a	2514	1234	1280
Or47b	2633	1349	1284
Or43b	2701	1362	1339
Orc1	29	13	17
Or43a	1285	648	637
Or45a	184	104	80
Or45b	71	27	44
Or47a	369	200	173
Or49a	313	156	157
Or49b	405	199	206
Or13a	323	153	170
Or19a	324	164	160
Or92a	2559	1271	1288
Or85a	946	474	472
Or85d	2	1	1
Orc2	8	1	7
Or88a	1783	890	900
Or74a	0	0	0
Orc6	12	5	7
Or69a	1411	717	694
Or67c	353	172	181
Or67b	854	412	445
Or7a	1050	533	517
Ork1	1019	544	475
Or9a	470	250	220
Or67d	3008	1519	1489
Or85e	7	4	3
Or85c	1470	726	744
Or85b	3487	1771	1716
Or94a	3	2	1
Or94b	1	0	1
Or33a	384	193	191
Or33b	43	21	22
Or33c	163	70	93
Orc4	11	5	6
Or10a	473	233	240
Or63a	10	4	6
