Or65a	309	159	150
Orc5	41	18	25
Or59c	1	1	0
Or59b	2658	1327	1331
Or59a	1	1	0
Or98a	725	390	335
Or42b	2696	1343	1353
Or42a	31	16	15
Or22c	68	34	34
Or30a	0	0	0
Or24a	3	1	2
Or23a	901	470	431
Or1a	7	3	4
Or35a	601	302	299
Or83c	551	292	259
Orco	40639	20533	20108
Or82a	1836	931	905
Or56a	2470	1230	1240
Or47b	2632	1399	1233
Or43b	2543	1276	1267
Orc1	22	13	9
Or43a	1233	640	593
Or45a	161	85	76
Or45b	82	38	44
Or47a	347	165	183
Or49a	317	150	167
Or49b	354	189	165
Or13a	284	139	145
Or19a	322	137	185
Or92a	2379	1226	1153
Or85a	856	447	409
Or85d	2	0	2
Orc2	12	5	7
Or88a	1597	810	792
Or74a	0	0	0
Orc6	12	6	6
Or69a	1395	730	665
Or67c	347	181	166
Or67b	851	422	432
Or7a	1072	511	561
Ork1	1046	506	540
Or9a	466	228	238
Or67d	2797	1403	1394
Or85e	12	6	6
Or85c	1426	702	724
Or85b	3310	1656	1654
Or94a	5	5	0
Or94b	0	0	0
Or33a	327	181	146
Or33b	38	18	20
Or33c	161	76	85
Orc4	12	5	7
Or10a	464	254	211
Or63a	9	5	4
