Or65a	302	157	145
Orc5	30	13	17
Or59c	0	0	0
Or59b	3043	1554	1491
Or59a	1	0	1
Or98a	568	293	275
Or42b	2012	1014	998
Or42a	18	9	9
Or22c	62	32	30
Or30a	0	0	0
Or24a	3	0	3
Or23a	657	346	311
Or1a	3	1	2
Or35a	512	253	259
Or83c	385	203	182
Orco	31636	15998	15639
Or82a	1165	574	591
Or56a	1836	943	893
Or47b	1186	591	595
Or43b	1904	961	944
Orc1	29	15	14
Or43a	758	381	377
Or45a	141	74	67
Or45b	37	13	24
Or47a	368	187	181
Or49a	217	104	113
Or49b	307	145	162
Or13a	346	170	176
Or19a	255	138	117
Or92a	2530	1272	1258
Or85a	997	541	456
Or85d	3	3	0
Orc2	6	5	1
Or88a	855	461	399
Or74a	0	0	0
Orc6	5	3	2
Or69a	887	450	437
Or67c	358	187	171
Or67b	567	275	293
Or7a	975	459	517
Ork1	1097	586	512
Or9a	644	302	342
Or67d	1150	578	572
Or85e	3	1	2
Or85c	1683	847	836
Or85b	2260	1149	1111
Or94a	1	1	0
Or94b	0	0	0
Or33a	272	131	141
Or33b	40	20	20
Or33c	163	77	86
Orc4	7	4	3
Or10a	317	173	144
Or63a	10	7	3
