Or65a	281	129	152
Orc5	10	3	9
Or59c	0	0	0
Or59b	2106	1055	1051
Or59a	0	0	0
Or98a	807	401	406
Or42b	1619	841	778
Or42a	10	3	7
Or22c	59	29	30
Or30a	0	0	0
Or24a	4	2	2
Or23a	568	286	282
Or1a	11	6	5
Or35a	518	251	267
Or83c	389	180	209
Orco	28125	14009	14116
Or82a	1392	704	688
Or56a	1403	707	696
Or47b	1092	555	537
Or43b	1945	965	980
Orc1	26	15	11
Or43a	629	313	316
Or45a	218	107	111
Or45b	21	11	10
Or47a	489	226	264
Or49a	215	109	106
Or49b	300	127	173
Or13a	332	157	175
Or19a	227	106	121
Or92a	2572	1250	1322
Or85a	991	476	515
Or85d	0	0	0
Orc2	3	0	3
Or88a	756	406	351
Or74a	0	0	0
Orc6	6	5	1
Or69a	750	379	371
Or67c	314	133	181
Or67b	541	269	272
Or7a	1000	487	513
Ork1	631	337	294
Or9a	782	382	400
Or67d	721	349	372
Or85e	4	2	2
Or85c	1766	880	886
Or85b	2201	1107	1094
Or94a	0	0	0
Or94b	1	0	1
Or33a	224	112	112
Or33b	26	9	17
Or33c	87	47	40
Orc4	10	5	5
Or10a	297	148	149
Or63a	2	1	1
