Or65a	322	171	151
Orc5	31	21	11
Or59c	0	0	0
Or59b	3075	1565	1511
Or59a	1	1	0
Or98a	647	303	344
Or42b	2110	1077	1033
Or42a	11	8	3
Or22c	70	32	38
Or30a	0	0	0
Or24a	1	0	1
Or23a	672	333	339
Or1a	1	1	0
Or35a	520	258	262
Or83c	429	202	227
Orco	33038	16614	16426
Or82a	1196	613	583
Or56a	1958	979	979
Or47b	1186	586	600
Or43b	2014	1025	989
Orc1	23	17	8
Or43a	788	393	395
Or45a	170	89	81
Or45b	44	23	21
Or47a	364	187	177
Or49a	254	126	128
Or49b	312	156	156
Or13a	387	196	191
Or19a	302	156	146
Or92a	2758	1401	1357
Or85a	1030	525	505
Or85d	3	2	1
Orc2	6	3	3
Or88a	867	437	435
Or74a	0	0	0
Orc6	3	2	1
Or69a	860	430	430
Or67c	342	172	170
Or67b	579	256	325
Or7a	1087	574	513
Ork1	1129	557	572
Or9a	692	357	335
Or67d	1149	588	561
Or85e	4	2	2
Or85c	1810	903	907
Or85b	2309	1168	1141
Or94a	1	0	1
Or94b	0	0	0
Or33a	262	121	141
Or33b	35	18	17
Or33c	153	77	76
Orc4	7	5	2
Or10a	327	158	169
Or63a	9	4	5
