	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Irk3	1004.64253631766	-2.5837013239868	0.0922394866289009	-28.0107947085783	1.20042311027226e-172	7.40260918001228e-172
Ir25a	4169.50076479427	3.53039914801297	0.0936368101368302	37.7031120865186	0	0
Ir94b	0.364932648286329	3.41390365506639	2.56495273816661	1.33098111488268	0.183195224993984	0.199359509552276
Ir76a	534.323612920078	3.87323705205819	0.131646170186732	29.42157030899	2.90983561947913e-190	2.15327835841456e-189
Ir84a	575.319236149207	10.0209763688827	0.529100077200408	18.939661513387	5.37414856932255e-80	1.52956536203796e-79
Ir56d	525.746070876025	-9.69015298509242	0.489036476685866	-19.8147857001614	2.21950948132312e-87	9.12465008988396e-87
Ir56a	75.0341308682526	-3.77253902957179	0.232331310310919	-16.2377555763929	2.72721118561432e-59	6.30667586673312e-59
Ir48b	66.6391440568089	-8.28446274623233	0.821315027400602	-10.0868271854857	6.31786401043381e-24	1.11314746850501e-23
Ir52c	380.933413230439	-9.39503973654859	0.516873653119264	-18.1766659605317	7.89926707401719e-74	2.08766344099026e-73
Ir54a	243.865538218283	-7.93506809046401	0.398308064063789	-19.9219368282567	2.62633123708868e-88	1.21467819715352e-87
Ir56b	0.39997805819379	2.44046034681941	2.38518044405426	1.02317640281806	0.306224447839937	0.323722987716504
Ir56c	28.3255470728432	-5.79644768490398	0.584476254645475	-9.91733648515785	3.49970563610558e-23	5.88586856981393e-23
Ir76b	3960.43774127544	2.16434502101652	0.0942748507853956	22.9578196410342	1.2309559965678e-116	6.50648169614407e-116
Ir20a	0.476598122366609	-1.32798729075275	1.66964981035309	-0.795368754883945	0.42639902961399	0.438243447103267
Ir92a	641.990092020719	-0.158485562228184	0.115023814974725	-1.37784998926534	0.168249608282731	0.18864350019579
Irk2	3216.9999263095	13.7056456169151	0.839806258136056	16.3200089117395	7.1125223111057e-60	1.75442217007274e-59
Irp-1A	854.441678272889	10.7777605070839	0.555187111022578	19.4128435136628	6.01068544554148e-84	1.85329467904196e-83
Ir85a	11.8367811497413	6.45353055966561	0.982523834509682	6.5683195999883	5.08862317969014e-11	7.5311623059414e-11
Irbp	134.816701197432	5.88504121263514	0.297089102308816	19.8090107206888	2.48927012837361e-87	9.21029947498234e-87
Ir87a	1.38552659592825	4.54020220584566	1.35888738798271	3.34111733319247	0.000834419520839608	0.000995920073260178
Ir75c	353.779403251411	12.6124818798168	0.919936226954728	13.7101698033656	8.82510660679686e-43	1.71857339184991e-42
Ir75a	4555.06799115325	10.3442987390972	0.227010102956111	45.5675699204327	0	0
Ir68b	0.282439953991141	-0.12177159118736	2.41650902811386	-0.0503915316560622	0.959810384574153	0.959810384574153
Ir68a	8.08794376693161	6.57192990449904	1.00265723387539	6.55451303043784	5.58237408468495e-11	7.94414773589782e-11
Ir67a	1.89509757193603	-1.52137729095501	0.95995232955095	-1.58484670969722	0.113001166778779	0.130657599087964
Irp-1B	2574.48208105109	-0.345636805349562	0.0994467117274488	-3.47559813035187	0.000509715472372246	0.000673552588491896
Ir94e	270.861086958209	-9.31849431863535	0.595832356939759	-15.6394566526999	3.92058983494314e-55	8.53304846428802e-55
Ir94g	6.41956981840908	-5.85589919589051	0.932315591041816	-6.28102678122849	3.36344190252381e-10	4.60916112568078e-10
Ir41a	470.813424719424	-4.79162844529687	0.132810417211786	-36.0787093805745	4.89324249748332e-285	6.03499908022942e-284
Ire1	528.044011894533	9.6382700806252	0.495067275478539	19.4686067086715	2.02710457527766e-84	6.81844266229758e-84
Ir60e	12.1892492091371	-1.24038260875302	0.368935675028893	-3.36205656624525	0.000773642735235792	0.000954159373457477
Ir60a	33.7722204261643	-1.83871510157635	0.25389455562737	-7.24204226054755	4.41978071775422e-13	6.81382860653776e-13
Ir60d	2.03038505281953	4.36533565736293	1.27125993206133	3.43386552763021	0.000595039314099289	0.000759188090402541
Ir7d	369.477684112335	-10.7636779999037	0.814240895364956	-13.219279529161	6.79113144374565e-40	1.25635931709294e-39
Ir7c	121.169122724393	-7.5699290965938	0.497631658452386	-15.211912200554	2.94804579805488e-52	6.05987191822393e-52
Ir7g	61.6970597378586	8.92340668076575	0.928362858889843	9.61198156013755	7.11660097804362e-22	1.14484450516354e-21
Ir64a	1931.6753792978	3.13707686696313	0.0966133903566959	32.470414870869	2.79035433532231e-231	2.58107776017314e-230
